,country,disease,year,week_of_the_year,commodity,metric_tons
0,China,African swine fever,2019,36,"Animal Bone,blood,coral,shell,spong",973
1,China,African swine fever,2019,36,"Animal Feed, Hay",5057
2,China,African swine fever,2019,36,Anise Seed,68
3,China,African swine fever,2019,36,Asparagus,170
4,China,African swine fever,2019,36,Bananas,479
5,China,African swine fever,2019,36,"Beans; Tonka, Vanilla",0
6,China,African swine fever,2019,36,"Beer, Ale",2373
7,China,African swine fever,2019,36,Berries,352
8,China,African swine fever,2019,36,Beverages,11938
9,China,African swine fever,2019,36,"Bitters, Liquor",2707
10,China,African swine fever,2019,36,"Bourbon, Scotch, Whiskey",226
11,China,African swine fever,2019,36,"Bristles; Natural,pvc,crude,process",9
12,China,African swine fever,2019,36,Bulb & Seeds,299
13,China,African swine fever,2019,36,Bulk Grains,321
14,China,African swine fever,2019,36,Candy And Confections,7478
15,China,African swine fever,2019,36,Canned Fish,2723
16,China,African swine fever,2019,36,Canned Fruit,21727
17,China,African swine fever,2019,36,"Canned Ham, Pork Shoulders",10
18,China,African swine fever,2019,36,Canned Meat,37
19,China,African swine fever,2019,36,Canned Pineapples,2148
20,China,African swine fever,2019,36,Canned Vegetables,6620
21,China,African swine fever,2019,36,"Carrageenin, Chondrus, Viscarin",43
22,China,African swine fever,2019,36,"Cassava Flour, Starch, Tapioca",95
23,China,African swine fever,2019,36,"Chanterelles, Mushrooms",3644
24,China,African swine fever,2019,36,Cheese,159
25,China,African swine fever,2019,36,Cherries,40
26,China,African swine fever,2019,36,Chewing Gum,156
27,China,African swine fever,2019,36,Chicory Roots,23
28,China,African swine fever,2019,36,"Chilles, Chili Pepper, Hot Peppers",27
29,China,African swine fever,2019,36,Cigarettes,405
30,China,African swine fever,2019,36,Citrus Fruit Juices,3836
31,China,African swine fever,2019,36,"Cocoa; Beans,liquor,ovaltine",23
32,China,African swine fever,2019,36,"Cocoa; Butter,cake,powder,russett",1046
33,China,African swine fever,2019,36,"Coconut, Coconut Milk",344
34,China,African swine fever,2019,36,Coconut Oil,35
35,China,African swine fever,2019,36,Cod Liver Oil,8
36,China,African swine fever,2019,36,Coffee,750
37,China,African swine fever,2019,36,Copra,12
38,China,African swine fever,2019,36,"Crawfish, Lobster",4093
39,China,African swine fever,2019,36,"Crispbread,flatbread,ryethin,rush",77
40,China,African swine fever,2019,36,Dairy Products,967
41,China,African swine fever,2019,36,"Dextrose, Glucose (When Sugar)",41
42,China,African swine fever,2019,36,Edible Nuts,2362
43,China,African swine fever,2019,36,"Escargot, Snail, Frog Meat & Legs",422
44,China,African swine fever,2019,36,Extract; Meat,18
45,China,African swine fever,2019,36,"Feathers, Down, Hair",1111
46,China,African swine fever,2019,36,Fish,5141
47,China,African swine fever,2019,36,"Fish Liver Oil, Plain Cod Oil",121
48,China,African swine fever,2019,36,Fish Meal,1026
49,China,African swine fever,2019,36,Fish Oil (Not Liver Or Cod),172
50,China,African swine fever,2019,36,"Food Casings, Hog Bungs",2322
51,China,African swine fever,2019,36,Frozen Fish,34308
52,China,African swine fever,2019,36,Fruit,5220
53,China,African swine fever,2019,36,"Fungus, Kelp, Marine Plants, Moss",787
54,China,African swine fever,2019,36,Gin,5
55,China,African swine fever,2019,36,"Gluten; Dry,wheat",39
56,China,African swine fever,2019,36,"Grain Products, Bread, Cereal",2513
57,China,African swine fever,2019,36,Grapefruit,303
58,China,African swine fever,2019,36,"Grenadine, Syrups (Not Chocolate)",20
59,China,African swine fever,2019,36,Grocery Items,29649
60,China,African swine fever,2019,36,Guar Gum,1160
61,China,African swine fever,2019,36,Gum,213
62,China,African swine fever,2019,36,"Gum; Acacia,arabic",22
63,China,African swine fever,2019,36,Herbs & Spices,20469
64,China,African swine fever,2019,36,Hides And Skins,1552
65,China,African swine fever,2019,36,Honey,115
66,China,African swine fever,2019,36,Instant Coffee,795
67,China,African swine fever,2019,36,Lanolin,37
68,China,African swine fever,2019,36,Lard,10
69,China,African swine fever,2019,36,"Leaves,moss,pollen,roots,veg Prod",1106
70,China,African swine fever,2019,36,Lemons,83
71,China,African swine fever,2019,36,"Licorice; Extract,root",56
72,China,African swine fever,2019,36,"Linseed, Flaxseed Oil",33
73,China,African swine fever,2019,36,Live Animals,1
74,China,African swine fever,2019,36,Live Plants,1401
75,China,African swine fever,2019,36,Lunchmeat,69
76,China,African swine fever,2019,36,Mandarin Oranges,1571
77,China,African swine fever,2019,36,Meat,1317
78,China,African swine fever,2019,36,Niger & Pumpkin Seed,2052
79,China,African swine fever,2019,36,Octopus,86
80,China,African swine fever,2019,36,Olive Oil,187
81,China,African swine fever,2019,36,"Onions, Shallots",1331
82,China,African swine fever,2019,36,Orange Peel,22
83,China,African swine fever,2019,36,Oranges,1521
84,China,African swine fever,2019,36,Oysters,43
85,China,African swine fever,2019,36,Palm Hearts,0
86,China,African swine fever,2019,36,Palm Oil,12
87,China,African swine fever,2019,36,"Paprika, Pimenton",1371
88,China,African swine fever,2019,36,Peanut Oil,1
89,China,African swine fever,2019,36,Pepper (Spice),355
90,China,African swine fever,2019,36,Pineapple,423
91,China,African swine fever,2019,36,"Potato; Dextrine,starch",87
92,China,African swine fever,2019,36,Poultry,476
93,China,African swine fever,2019,36,Prune,99
94,China,African swine fever,2019,36,Rapeseed Oil,2
95,China,African swine fever,2019,36,Raw Cotton,349
96,China,African swine fever,2019,36,Rice,25992
97,China,African swine fever,2019,36,"Rosin, Shellac, Terpentine",268
98,China,African swine fever,2019,36,Rum,74
99,China,African swine fever,2019,36,"Sake, Rice Wine",392
100,China,African swine fever,2019,36,Sardines,22
101,China,African swine fever,2019,36,Scallops,646
102,China,African swine fever,2019,36,Sesame Oil,82
103,China,African swine fever,2019,36,"Shrimp, Prawns",4108
104,China,African swine fever,2019,36,Soybean Oil,32
105,China,African swine fever,2019,36,Soybeans,6499
106,China,African swine fever,2019,36,"Starch; Rice, Food (Not Potato)",36
107,China,African swine fever,2019,36,Sugar,1844
108,China,African swine fever,2019,36,Sunflower Oil,22
109,China,African swine fever,2019,36,Sunflower Seed,188
110,China,African swine fever,2019,36,Tea,1763
111,China,African swine fever,2019,36,Tobacco Products,836
112,China,African swine fever,2019,36,"Tomatoes, Prepared",481
113,China,African swine fever,2019,36,Tuna,203
114,China,African swine fever,2019,36,Tung Oil,17
115,China,African swine fever,2019,36,Vegetable Oils & Shortenings,862
116,China,African swine fever,2019,36,Vegetables,15746
117,China,African swine fever,2019,36,Wine,9571
0,China,African swine fever,2018,40,"Animal Bone,blood,coral,shell,spong",567
1,China,African swine fever,2018,40,Animal Fats & Greases,2
2,China,African swine fever,2018,40,"Animal Feed, Hay",3680
3,China,African swine fever,2018,40,Anise Seed,90
4,China,African swine fever,2018,40,Asparagus,73
5,China,African swine fever,2018,40,Bananas,51
6,China,African swine fever,2018,40,"Beans; Tonka, Vanilla",2
7,China,African swine fever,2018,40,"Beer, Ale",2698
8,China,African swine fever,2018,40,Berries,695
9,China,African swine fever,2018,40,Beverages,18818
10,China,African swine fever,2018,40,"Bitters, Liquor",644
11,China,African swine fever,2018,40,"Bourbon, Scotch, Whiskey",390
12,China,African swine fever,2018,40,"Bristles; Natural,pvc,crude,process",10
13,China,African swine fever,2018,40,Bulb & Seeds,488
14,China,African swine fever,2018,40,Bulk Grains,146
15,China,African swine fever,2018,40,Candy And Confections,7168
16,China,African swine fever,2018,40,Canned Fish,4229
17,China,African swine fever,2018,40,Canned Foodstuffs,21
18,China,African swine fever,2018,40,Canned Fruit,22772
19,China,African swine fever,2018,40,Canned Meat,34
20,China,African swine fever,2018,40,Canned Pineapples,1839
21,China,African swine fever,2018,40,Canned Vegetables,5932
22,China,African swine fever,2018,40,"Carrageenin, Chondrus, Viscarin",142
23,China,African swine fever,2018,40,"Cassava Flour, Starch, Tapioca",164
24,China,African swine fever,2018,40,Castor Oil,80
25,China,African swine fever,2018,40,"Chanterelles, Mushrooms",5208
26,China,African swine fever,2018,40,Cheese,50
27,China,African swine fever,2018,40,Cherries,46
28,China,African swine fever,2018,40,Chewing Gum,161
29,China,African swine fever,2018,40,"Chilles, Chili Pepper, Hot Peppers",345
30,China,African swine fever,2018,40,Cigarettes,221
31,China,African swine fever,2018,40,Citrus Fruit Juices,75
32,China,African swine fever,2018,40,"Cocoa; Beans,liquor,ovaltine",608
33,China,African swine fever,2018,40,"Cocoa; Butter,cake,powder,russett",655
34,China,African swine fever,2018,40,"Coconut, Coconut Milk",38
35,China,African swine fever,2018,40,Coffee,1400
36,China,African swine fever,2018,40,Copra,4
37,China,African swine fever,2018,40,"Crawfish, Lobster",1747
38,China,African swine fever,2018,40,"Crispbread,flatbread,ryethin,rush",82
39,China,African swine fever,2018,40,Dairy Products,1445
40,China,African swine fever,2018,40,"Dextrose, Glucose (When Sugar)",20
41,China,African swine fever,2018,40,Edible Nuts,4506
42,China,African swine fever,2018,40,"Escargot, Snail, Frog Meat & Legs",21
43,China,African swine fever,2018,40,Extract; Meat,8
44,China,African swine fever,2018,40,"Feathers, Down, Hair",1663
45,China,African swine fever,2018,40,Fish,2426
46,China,African swine fever,2018,40,"Fish Liver Oil, Plain Cod Oil",157
47,China,African swine fever,2018,40,Fish Meal,1508
48,China,African swine fever,2018,40,Fish Oil (Not Liver Or Cod),172
49,China,African swine fever,2018,40,"Food Casings, Hog Bungs",2079
50,China,African swine fever,2018,40,Frozen Fish,37184
51,China,African swine fever,2018,40,Fruit,5490
52,China,African swine fever,2018,40,"Fruit Peel; Crude,dry,in Brine,nos",0
53,China,African swine fever,2018,40,"Fungus, Kelp, Marine Plants, Moss",953
54,China,African swine fever,2018,40,Gin,0
55,China,African swine fever,2018,40,"Gluten; Dry,wheat",0
56,China,African swine fever,2018,40,"Grain Products, Bread, Cereal",1723
57,China,African swine fever,2018,40,Grapefruit,367
58,China,African swine fever,2018,40,"Grenadine, Syrups (Not Chocolate)",13
59,China,African swine fever,2018,40,Grocery Items,20421
60,China,African swine fever,2018,40,Guar Gum,1459
61,China,African swine fever,2018,40,Gum,19
62,China,African swine fever,2018,40,"Gum; Acacia,arabic",92
63,China,African swine fever,2018,40,Herbs & Spices,26731
64,China,African swine fever,2018,40,Hides And Skins,1722
65,China,African swine fever,2018,40,Honey,85
66,China,African swine fever,2018,40,Instant Coffee,531
67,China,African swine fever,2018,40,Lanolin,34
68,China,African swine fever,2018,40,Lard,25
69,China,African swine fever,2018,40,"Leaves,moss,pollen,roots,veg Prod",1270
70,China,African swine fever,2018,40,Lemons,49
71,China,African swine fever,2018,40,"Licorice; Extract,root",214
72,China,African swine fever,2018,40,"Linseed, Flaxseed Oil",59
73,China,African swine fever,2018,40,Live Animals,28
74,China,African swine fever,2018,40,Live Plants,749
75,China,African swine fever,2018,40,Lunchmeat,144
76,China,African swine fever,2018,40,Mandarin Oranges,3872
77,China,African swine fever,2018,40,Meat,967
78,China,African swine fever,2018,40,Millet Seed,10
79,China,African swine fever,2018,40,Niger & Pumpkin Seed,2772
80,China,African swine fever,2018,40,Octopus,301
81,China,African swine fever,2018,40,Olive Oil,226
82,China,African swine fever,2018,40,"Onions, Shallots",1778
83,China,African swine fever,2018,40,Orange Peel,113
84,China,African swine fever,2018,40,Oranges,2146
85,China,African swine fever,2018,40,Oysters,25
86,China,African swine fever,2018,40,Palm Hearts,5
87,China,African swine fever,2018,40,Palm Oil,25
88,China,African swine fever,2018,40,"Paprika, Pimenton",1387
89,China,African swine fever,2018,40,Peanut Oil,15
90,China,African swine fever,2018,40,Pepper (Spice),512
91,China,African swine fever,2018,40,Pineapple,10
92,China,African swine fever,2018,40,"Potato; Dextrine,starch",95
93,China,African swine fever,2018,40,Poultry,637
94,China,African swine fever,2018,40,Prune,77
95,China,African swine fever,2018,40,Raw Cotton,106
96,China,African swine fever,2018,40,Rice,5051
97,China,African swine fever,2018,40,"Rosin, Shellac, Terpentine",156
98,China,African swine fever,2018,40,Rum,12
99,China,African swine fever,2018,40,"Sake, Rice Wine",123
100,China,African swine fever,2018,40,Scallops,894
101,China,African swine fever,2018,40,Sesame Oil,134
102,China,African swine fever,2018,40,"Shrimp, Prawns",5789
103,China,African swine fever,2018,40,Soybean Oil,38
104,China,African swine fever,2018,40,Soybeans,7969
105,China,African swine fever,2018,40,"Starch; Rice, Food (Not Potato)",32
106,China,African swine fever,2018,40,Sugar,1157
107,China,African swine fever,2018,40,Sunflower Oil,44
108,China,African swine fever,2018,40,Sunflower Seed,602
109,China,African swine fever,2018,40,Tea,2063
110,China,African swine fever,2018,40,Tobacco Products,484
111,China,African swine fever,2018,40,"Tomatoes, Prepared",1070
112,China,African swine fever,2018,40,Tuna,90
113,China,African swine fever,2018,40,Tung Oil,163
114,China,African swine fever,2018,40,Turpentine Gum,0
115,China,African swine fever,2018,40,Vegetable Oils & Shortenings,1000
116,China,African swine fever,2018,40,Vegetables,15776
117,China,African swine fever,2018,40,Wine,13611
0,China,Influenza - Avian,2019,1,"Animal Bone,blood,coral,shell,spong",1115
1,China,Influenza - Avian,2019,1,"Animal Feed, Hay",4376
2,China,Influenza - Avian,2019,1,Anise Seed,215
3,China,Influenza - Avian,2019,1,Asparagus,201
4,China,Influenza - Avian,2019,1,Bananas,244
5,China,Influenza - Avian,2019,1,"Beer, Ale",1475
6,China,Influenza - Avian,2019,1,Berries,458
7,China,Influenza - Avian,2019,1,Beverages,7905
8,China,Influenza - Avian,2019,1,"Bitters, Liquor",2078
9,China,Influenza - Avian,2019,1,"Bourbon, Scotch, Whiskey",148
10,China,Influenza - Avian,2019,1,"Bristles; Natural,pvc,crude,process",11
11,China,Influenza - Avian,2019,1,Bulb & Seeds,755
12,China,Influenza - Avian,2019,1,Bulk Grains,223
13,China,Influenza - Avian,2019,1,Candy And Confections,4844
14,China,Influenza - Avian,2019,1,Canned Fish,2610
15,China,Influenza - Avian,2019,1,Canned Fruit,17709
16,China,Influenza - Avian,2019,1,"Canned Ham, Pork Shoulders",69
17,China,Influenza - Avian,2019,1,Canned Meat,76
18,China,Influenza - Avian,2019,1,Canned Pineapples,683
19,China,Influenza - Avian,2019,1,Canned Vegetables,3405
20,China,Influenza - Avian,2019,1,"Carrageenin, Chondrus, Viscarin",205
21,China,Influenza - Avian,2019,1,"Cassava Flour, Starch, Tapioca",372
22,China,Influenza - Avian,2019,1,Castor Oil,119
23,China,Influenza - Avian,2019,1,"Chanterelles, Mushrooms",5222
24,China,Influenza - Avian,2019,1,Cheese,154
25,China,Influenza - Avian,2019,1,Cherries,22
26,China,Influenza - Avian,2019,1,Chewing Gum,156
27,China,Influenza - Avian,2019,1,Chicory Roots,17
28,China,Influenza - Avian,2019,1,"Chilles, Chili Pepper, Hot Peppers",217
29,China,Influenza - Avian,2019,1,Cigarettes,220
30,China,Influenza - Avian,2019,1,Citrus Fruit Juices,231
31,China,Influenza - Avian,2019,1,"Cocoa; Beans,liquor,ovaltine",1136
32,China,Influenza - Avian,2019,1,"Cocoa; Butter,cake,powder,russett",1098
33,China,Influenza - Avian,2019,1,"Coconut, Coconut Milk",281
34,China,Influenza - Avian,2019,1,Coconut Oil,128
35,China,Influenza - Avian,2019,1,Coffee,1292
36,China,Influenza - Avian,2019,1,"Crawfish, Lobster",508
37,China,Influenza - Avian,2019,1,"Crispbread,flatbread,ryethin,rush",22
38,China,Influenza - Avian,2019,1,Dairy Products,831
39,China,Influenza - Avian,2019,1,"Dextrose, Glucose (When Sugar)",86
40,China,Influenza - Avian,2019,1,Edible Nuts,4137
41,China,Influenza - Avian,2019,1,"Escargot, Snail, Frog Meat & Legs",332
42,China,Influenza - Avian,2019,1,"Feathers, Down, Hair",1461
43,China,Influenza - Avian,2019,1,Fish,2040
44,China,Influenza - Avian,2019,1,"Fish Liver Oil, Plain Cod Oil",109
45,China,Influenza - Avian,2019,1,Fish Meal,895
46,China,Influenza - Avian,2019,1,Fish Oil (Not Liver Or Cod),79
47,China,Influenza - Avian,2019,1,"Food Casings, Hog Bungs",2011
48,China,Influenza - Avian,2019,1,Frozen Fish,35113
49,China,Influenza - Avian,2019,1,Fruit,4513
50,China,Influenza - Avian,2019,1,"Fungus, Kelp, Marine Plants, Moss",569
51,China,Influenza - Avian,2019,1,Gin,9
52,China,Influenza - Avian,2019,1,"Gluten; Dry,wheat",75
53,China,Influenza - Avian,2019,1,"Grain Products, Bread, Cereal",1122
54,China,Influenza - Avian,2019,1,Grapefruit,240
55,China,Influenza - Avian,2019,1,"Grenadine, Syrups (Not Chocolate)",39
56,China,Influenza - Avian,2019,1,Grocery Items,19058
57,China,Influenza - Avian,2019,1,Guar Gum,633
58,China,Influenza - Avian,2019,1,Gum,42
59,China,Influenza - Avian,2019,1,"Gum; Acacia,arabic",48
60,China,Influenza - Avian,2019,1,Herbs & Spices,23514
61,China,Influenza - Avian,2019,1,Hides And Skins,792
62,China,Influenza - Avian,2019,1,Honey,8
63,China,Influenza - Avian,2019,1,Instant Coffee,755
64,China,Influenza - Avian,2019,1,Lanolin,59
65,China,Influenza - Avian,2019,1,Lard,28
66,China,Influenza - Avian,2019,1,"Leaves,moss,pollen,roots,veg Prod",940
67,China,Influenza - Avian,2019,1,Lemons,88
68,China,Influenza - Avian,2019,1,"Licorice; Extract,root",334
69,China,Influenza - Avian,2019,1,"Linseed, Flaxseed Oil",60
70,China,Influenza - Avian,2019,1,Live Animals,20
71,China,Influenza - Avian,2019,1,Live Plants,1092
72,China,Influenza - Avian,2019,1,Lunchmeat,69
73,China,Influenza - Avian,2019,1,Mandarin Oranges,2678
74,China,Influenza - Avian,2019,1,Meat,664
75,China,Influenza - Avian,2019,1,Millet Seed,30
76,China,Influenza - Avian,2019,1,Niger & Pumpkin Seed,2113
77,China,Influenza - Avian,2019,1,Octopus,156
78,China,Influenza - Avian,2019,1,Olive Oil,173
79,China,Influenza - Avian,2019,1,"Onions, Shallots",2301
80,China,Influenza - Avian,2019,1,Orange Peel,3
81,China,Influenza - Avian,2019,1,Oranges,1799
82,China,Influenza - Avian,2019,1,Oysters,75
83,China,Influenza - Avian,2019,1,Palm Hearts,0
84,China,Influenza - Avian,2019,1,"Paprika, Pimenton",2139
85,China,Influenza - Avian,2019,1,Pepper (Spice),503
86,China,Influenza - Avian,2019,1,Pineapple,85
87,China,Influenza - Avian,2019,1,"Potato; Dextrine,starch",33
88,China,Influenza - Avian,2019,1,Poultry,1625
89,China,Influenza - Avian,2019,1,Prune,146
90,China,Influenza - Avian,2019,1,Raw Cotton,44
91,China,Influenza - Avian,2019,1,Rice,4757
92,China,Influenza - Avian,2019,1,"Rosin, Shellac, Terpentine",217
93,China,Influenza - Avian,2019,1,Rum,54
94,China,Influenza - Avian,2019,1,"Sake, Rice Wine",207
95,China,Influenza - Avian,2019,1,Scallops,939
96,China,Influenza - Avian,2019,1,Sesame Oil,104
97,China,Influenza - Avian,2019,1,"Shrimp, Prawns",4525
98,China,Influenza - Avian,2019,1,Soybean Oil,106
99,China,Influenza - Avian,2019,1,Soybeans,4648
100,China,Influenza - Avian,2019,1,"Starch; Rice, Food (Not Potato)",107
101,China,Influenza - Avian,2019,1,Sugar,1672
102,China,Influenza - Avian,2019,1,Sunflower Oil,32
103,China,Influenza - Avian,2019,1,Sunflower Seed,343
104,China,Influenza - Avian,2019,1,Tea,2005
105,China,Influenza - Avian,2019,1,Tobacco Products,430
106,China,Influenza - Avian,2019,1,"Tomatoes, Prepared",536
107,China,Influenza - Avian,2019,1,Tuna,87
108,China,Influenza - Avian,2019,1,Tung Oil,141
109,China,Influenza - Avian,2019,1,Vegetable Oils & Shortenings,811
110,China,Influenza - Avian,2019,1,Vegetables,17300
111,China,Influenza - Avian,2019,1,Wine,7776
0,China,African swine fever,2018,31,"Animal Bone,blood,coral,shell,spong",850
1,China,African swine fever,2018,31,Animal Fats & Greases,4
2,China,African swine fever,2018,31,"Animal Feed, Hay",7060
3,China,African swine fever,2018,31,Anise Seed,73
4,China,African swine fever,2018,31,Asparagus,16
5,China,African swine fever,2018,31,Bananas,208
6,China,African swine fever,2018,31,"Beer, Ale",2895
7,China,African swine fever,2018,31,Berries,824
8,China,African swine fever,2018,31,Beverages,44558
9,China,African swine fever,2018,31,"Bitters, Liquor",771
10,China,African swine fever,2018,31,"Bourbon, Scotch, Whiskey",445
11,China,African swine fever,2018,31,"Bristles; Natural,pvc,crude,process",23
12,China,African swine fever,2018,31,Bulb & Seeds,430
13,China,African swine fever,2018,31,Bulk Grains,125
14,China,African swine fever,2018,31,Candy And Confections,6565
15,China,African swine fever,2018,31,Canned Fish,4048
16,China,African swine fever,2018,31,Canned Fruit,23374
17,China,African swine fever,2018,31,Canned Meat,104
18,China,African swine fever,2018,31,Canned Pineapples,995
19,China,African swine fever,2018,31,Canned Vegetables,7236
20,China,African swine fever,2018,31,"Carrageenin, Chondrus, Viscarin",128
21,China,African swine fever,2018,31,"Cassava Flour, Starch, Tapioca",50
22,China,African swine fever,2018,31,"Chanterelles, Mushrooms",3878
23,China,African swine fever,2018,31,Cheese,42
24,China,African swine fever,2018,31,Cherries,64
25,China,African swine fever,2018,31,Chewing Gum,90
26,China,African swine fever,2018,31,"Chilles, Chili Pepper, Hot Peppers",123
27,China,African swine fever,2018,31,Cigarettes,345
28,China,African swine fever,2018,31,Citrus Fruit Juices,47
29,China,African swine fever,2018,31,"Cocoa; Beans,liquor,ovaltine",555
30,China,African swine fever,2018,31,"Cocoa; Butter,cake,powder,russett",469
31,China,African swine fever,2018,31,"Coconut, Coconut Milk",136
32,China,African swine fever,2018,31,Coconut Oil,86
33,China,African swine fever,2018,31,Coffee,2293
34,China,African swine fever,2018,31,Cottonseed Oil,7
35,China,African swine fever,2018,31,"Crawfish, Lobster",3399
36,China,African swine fever,2018,31,"Crispbread,flatbread,ryethin,rush",5
37,China,African swine fever,2018,31,Dairy Products,631
38,China,African swine fever,2018,31,"Dextrose, Glucose (When Sugar)",815
39,China,African swine fever,2018,31,Edible Nuts,3143
40,China,African swine fever,2018,31,"Escargot, Snail, Frog Meat & Legs",364
41,China,African swine fever,2018,31,"Feathers, Down, Hair",1428
42,China,African swine fever,2018,31,Fish,2646
43,China,African swine fever,2018,31,"Fish Liver Oil, Plain Cod Oil",153
44,China,African swine fever,2018,31,Fish Meal,1213
45,China,African swine fever,2018,31,Fish Oil (Not Liver Or Cod),117
46,China,African swine fever,2018,31,"Food Casings, Hog Bungs",2128
47,China,African swine fever,2018,31,Frozen Fish,42679
48,China,African swine fever,2018,31,Fruit,5556
49,China,African swine fever,2018,31,"Fungus, Kelp, Marine Plants, Moss",1267
50,China,African swine fever,2018,31,Gin,0
51,China,African swine fever,2018,31,"Grain Products, Bread, Cereal",2075
52,China,African swine fever,2018,31,Grapefruit,4
53,China,African swine fever,2018,31,"Grenadine, Syrups (Not Chocolate)",56
54,China,African swine fever,2018,31,Grocery Items,21573
55,China,African swine fever,2018,31,Guar Gum,883
56,China,African swine fever,2018,31,"Gum; Acacia,arabic",62
57,China,African swine fever,2018,31,Herbs & Spices,22988
58,China,African swine fever,2018,31,Hides And Skins,1374
59,China,African swine fever,2018,31,Honey,120
60,China,African swine fever,2018,31,Instant Coffee,1060
61,China,African swine fever,2018,31,Lanolin,69
62,China,African swine fever,2018,31,Lard,53
63,China,African swine fever,2018,31,"Leaves,moss,pollen,roots,veg Prod",998
64,China,African swine fever,2018,31,Lemons,21
65,China,African swine fever,2018,31,"Licorice; Extract,root",128
66,China,African swine fever,2018,31,"Linseed, Flaxseed Oil",94
67,China,African swine fever,2018,31,Live Animals,72
68,China,African swine fever,2018,31,Live Plants,709
69,China,African swine fever,2018,31,Lunchmeat,108
70,China,African swine fever,2018,31,Mandarin Oranges,2380
71,China,African swine fever,2018,31,Meat,693
72,China,African swine fever,2018,31,Niger & Pumpkin Seed,2752
73,China,African swine fever,2018,31,Octopus,398
74,China,African swine fever,2018,31,Olive Oil,58
75,China,African swine fever,2018,31,"Onions, Shallots",2032
76,China,African swine fever,2018,31,Orange Peel,24
77,China,African swine fever,2018,31,Oranges,1022
78,China,African swine fever,2018,31,Oysters,77
79,China,African swine fever,2018,31,Palm Hearts,11
80,China,African swine fever,2018,31,Palm Oil,38
81,China,African swine fever,2018,31,"Paprika, Pimenton",1498
82,China,African swine fever,2018,31,Peanut Oil,4
83,China,African swine fever,2018,31,Pepper (Spice),424
84,China,African swine fever,2018,31,Pineapple,15
85,China,African swine fever,2018,31,"Potato; Dextrine,starch",63
86,China,African swine fever,2018,31,Poultry,519
87,China,African swine fever,2018,31,Prune,114
88,China,African swine fever,2018,31,Rapeseed Oil,14
89,China,African swine fever,2018,31,Raw Cotton,91
90,China,African swine fever,2018,31,Rice,4431
91,China,African swine fever,2018,31,"Rosin, Shellac, Terpentine",832
92,China,African swine fever,2018,31,Rum,21
93,China,African swine fever,2018,31,"Sake, Rice Wine",467
94,China,African swine fever,2018,31,Sardines,23
95,China,African swine fever,2018,31,Scallops,890
96,China,African swine fever,2018,31,Sesame Oil,125
97,China,African swine fever,2018,31,"Shrimp, Prawns",8579
98,China,African swine fever,2018,31,Soybean Oil,59
99,China,African swine fever,2018,31,Soybeans,13623
100,China,African swine fever,2018,31,"Starch; Rice, Food (Not Potato)",70
101,China,African swine fever,2018,31,Sugar,941
102,China,African swine fever,2018,31,Sunflower Oil,17
103,China,African swine fever,2018,31,Sunflower Seed,629
104,China,African swine fever,2018,31,Tea,2188
105,China,African swine fever,2018,31,Tobacco Products,381
106,China,African swine fever,2018,31,"Tomatoes, Prepared",1160
107,China,African swine fever,2018,31,Tuna,62
108,China,African swine fever,2018,31,Tung Oil,74
109,China,African swine fever,2018,31,Vegetable Oils & Shortenings,1569
110,China,African swine fever,2018,31,Vegetables,15457
111,China,African swine fever,2018,31,Wine,10054
0,China,African swine fever,2018,48,"Animal Bone,blood,coral,shell,spong",1061
1,China,African swine fever,2018,48,"Animal Feed, Hay",5064
2,China,African swine fever,2018,48,Anise Seed,119
3,China,African swine fever,2018,48,Asparagus,84
4,China,African swine fever,2018,48,Bananas,39
5,China,African swine fever,2018,48,"Beer, Ale",3009
6,China,African swine fever,2018,48,Berries,522
7,China,African swine fever,2018,48,Beverages,44057
8,China,African swine fever,2018,48,"Bitters, Liquor",2050
9,China,African swine fever,2018,48,"Bourbon, Scotch, Whiskey",422
10,China,African swine fever,2018,48,"Bristles; Natural,pvc,crude,process",10
11,China,African swine fever,2018,48,Bulb & Seeds,760
12,China,African swine fever,2018,48,Bulk Grains,528
13,China,African swine fever,2018,48,Candy And Confections,5724
14,China,African swine fever,2018,48,Canned Fish,8949
15,China,African swine fever,2018,48,Canned Fruit,44045
16,China,African swine fever,2018,48,"Canned Ham, Pork Shoulders",183
17,China,African swine fever,2018,48,Canned Meat,144
18,China,African swine fever,2018,48,Canned Pineapples,1123
19,China,African swine fever,2018,48,Canned Vegetables,10090
20,China,African swine fever,2018,48,"Carrageenin, Chondrus, Viscarin",101
21,China,African swine fever,2018,48,"Cassava Flour, Starch, Tapioca",121
22,China,African swine fever,2018,48,Castor Oil,135
23,China,African swine fever,2018,48,"Chanterelles, Mushrooms",4873
24,China,African swine fever,2018,48,Cheese,23
25,China,African swine fever,2018,48,Cherries,166
26,China,African swine fever,2018,48,Chewing Gum,194
27,China,African swine fever,2018,48,"Chilles, Chili Pepper, Hot Peppers",83
28,China,African swine fever,2018,48,Cigarettes,391
29,China,African swine fever,2018,48,Citrus Fruit Juices,0
30,China,African swine fever,2018,48,"Cocoa; Beans,liquor,ovaltine",363
31,China,African swine fever,2018,48,"Cocoa; Butter,cake,powder,russett",571
32,China,African swine fever,2018,48,"Coconut, Coconut Milk",200
33,China,African swine fever,2018,48,Coconut Oil,19
34,China,African swine fever,2018,48,Coffee,899
35,China,African swine fever,2018,48,"Crawfish, Lobster",2710
36,China,African swine fever,2018,48,"Crispbread,flatbread,ryethin,rush",15
